term_id,K,Q,J,Jʹ,term_upper_id,transition_id,Ku,Qu,Ju,Jʹu,coefficient,index1,index0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,3.0,2.0,1.0,2.0,0.0,133,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,3.0,3.0,1.0,2.0,0.0,134,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-2.0,2.0,0.0,0.0,135,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-1.0,2.0,0.0,0.0,136,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,0.0,2.0,0.0,0.0,137,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,1.0,2.0,0.0,0.0,138,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,2.0,2.0,0.0,0.0,139,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,2.0,1.0,0.0,140,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,2.0,1.0,0.0,141,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,2.0,1.0,0.0,142,0
