term_id,L,S,term_upper_id,Lu,J,Jʹ,K,Q,Ju,Jʹu,Ku,Qu,coefficient
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,0.0,2.0,2.0,3.0,1.0,2.0,2.0,186666574.16664374
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,11385495.209142525
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,1.0,1.0,-1.0,1.0,2.0,1.0,-1.0,3944051.2343133786
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,1.0,1.0,-1.0,2.0,1.0,1.0,-1.0,59160768.51470069
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,1.0,1.0,-1.0,2.0,2.0,1.0,-1.0,45825734.24125357
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,1.0,1.0,-1.0,3.0,2.0,1.0,-1.0,216886959.91230088
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,11385495.209142525
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,1.0,1.0,-0.0,1.0,2.0,1.0,-0.0,3944051.2343133786
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,1.0,1.0,-0.0,2.0,1.0,1.0,-0.0,59160768.51470069
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,1.0,1.0,-0.0,2.0,2.0,1.0,-0.0,45825734.24125357
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,1.0,1.0,-0.0,3.0,2.0,1.0,-0.0,216886959.91230088
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11385495.209142525
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3944051.2343133786
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,59160768.51470069
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,45825734.24125357
