term_id,K,Q,J,Jʹ,term_lower_id,transition_id,Kʹ,Qʹ,Jʹʹ,Jʹʹʹ,Kr,Qr,r_s_1,index1,index0
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,2.0,2.0,1.0,-1.0,0.0,75,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,2.0,2.0,2.0,-1.0,0.0,75,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,76,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,76,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,76,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,77,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,77,20
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,0.0,1.0,2.0,-2.0,-42480265694.565865,19,21
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,0.0,1.0,1.0,-1.0,30038083939.233795,20,21
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,0.0,1.0,2.0,-1.0,-30038083939.233795,20,21
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,0.0,1.0,0.0,0.0,98103971336.0177,21,21
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,0.0,1.0,1.0,0.0,30038083939.233795,21,21
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,0.0,1.0,2.0,0.0,-17342495848.257202,21,21
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,1.0,0.0,2.0,-2.0,0.0,27,21
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.0,28,21
