term_id,K,Q,J,Jʹ,term_upper_id,transition_id,Kʹ,Qʹ,Jʹʹ,Jʹʹʹ,Kr,Qr,r_a_1,index1,index0
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,2.0,1.0,0.0,0.0,0.0,59,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,2.0,1.0,1.0,0.0,0.0,59,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,2.0,1.0,2.0,0.0,2850305881.1278615,59,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,60,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,2.0,1.0,2.0,1.0,2249823884.146584,60,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,60,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,2.0,1.0,2.0,1.0,4936874603.225834,60,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,2.0,1.0,2.0,2.0,3181731449.911014,61,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,2.0,1.0,2.0,2.0,6981795019.617268,61,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,2.0,2.0,0.0,0.0,0.0,75,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,2.0,2.0,1.0,0.0,0.0,75,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,2.0,2.0,2.0,0.0,0.0,75,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,2.0,2.0,0.0,0.0,0.0,75,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,2.0,2.0,1.0,0.0,0.0,75,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,2.0,2.0,2.0,0.0,0.0,75,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,76,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,76,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,76,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,76,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,77,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,77,19
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,1.0,-1.0,-2515379571.1771874,19,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2.0,-1.0,2515379571.177187,19,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,1.0,-1.0,27597968023.013172,19,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2.0,-1.0,5519593604.602633,19,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,0.0,0.0,8215195278.406491,20,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,20,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2.0,0.0,2904510145.0664682,20,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,0.0,0.0,180269172250.74374,20,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,20,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2.0,0.0,6373477706.869335,20,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,1.0,1.0,2515379571.1771874,21,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2.0,1.0,2515379571.177187,21,20
