term_id,K,Q,J,Jʹ,term_lower_id,transition_id,Kʹ,Qʹ,Jʹʹ,Jʹʹʹ,r_e_0,index1,index0
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,1.0,1.0,0.0,32,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,1.0,1.0,0.0,33,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,1.0,2.0,0.0,39,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,1.0,2.0,0.0,40,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,1.0,2.0,0.0,41,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,2.0,1.0,0.0,59,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,2.0,1.0,0.0,60,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,2.0,1.0,0.0,61,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,2.0,2.0,0.0,75,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,2.0,2.0,0.0,76,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,2.0,2.0,0.0,77,19
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,0.0,1.0,0.0,19,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,0.0,1.0,30660000.0,20,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,0.0,1.0,0.0,21,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,1.0,0.0,0.0,27,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,1.0,0.0,0.0,28,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,1.0,0.0,0.0,29,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,0.0,31,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,1.0,1.0,0.0,32,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,1.0,1.0,0.0,33,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,1.0,2.0,0.0,39,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,1.0,2.0,0.0,40,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,1.0,2.0,0.0,41,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,2.0,1.0,0.0,59,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,2.0,1.0,0.0,60,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,2.0,1.0,0.0,61,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,2.0,2.0,0.0,75,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,2.0,2.0,0.0,76,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,2.0,2.0,0.0,77,20
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,0.0,1.0,0.0,19,21
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,0.0,1.0,0.0,20,21
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,0.0,1.0,30660000.0,21,21
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,1.0,0.0,0.0,27,21
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,1.0,0.0,0.0,28,21
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,1.0,0.0,0.0,29,21
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,0.0,31,21
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,1.0,1.0,0.0,32,21
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,1.0,1.0,0.0,33,21
