term_id,K,Q,J,Jʹ,Kʹ,Qʹ,Jʹʹ,Jʹʹʹ,n_0,n_1,index1,index0
2p3_L=1.0_S=1.0,1.0,-1.0,1.0,0.0,1.0,-1.0,1.0,2.0,-0.0,0.0,39,27
2p3_L=1.0_S=1.0,1.0,-1.0,1.0,0.0,2.0,-1.0,1.0,2.0,-0.0,-0.0,43,27
2p3_L=1.0_S=1.0,1.0,-1.0,1.0,0.0,2.0,-1.0,2.0,0.0,-0.0,-0.5,55,27
2p3_L=1.0_S=1.0,1.0,-1.0,1.0,0.0,1.0,-1.0,2.0,1.0,-0.0,0.0,59,27
2p3_L=1.0_S=1.0,1.0,-1.0,1.0,0.0,2.0,-1.0,2.0,1.0,-0.0,-0.0,63,27
2p3_L=1.0_S=1.0,1.0,-1.0,1.0,0.0,1.0,-1.0,2.0,2.0,-0.0,0.0,75,27
2p3_L=1.0_S=1.0,1.0,-1.0,1.0,0.0,2.0,-1.0,2.0,2.0,-0.0,-0.0,79,27
2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.8164965809277258,18,28
2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.0,-0.0,20,28
2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,-0.0,0.0,24,28
2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-29616496926.04057,0.0,28,28
2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-0.0,0.47140452079103157,30,28
2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,-0.0,-0.0,32,28
2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,-0.0,-0.6666666666666665,36,28
2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,-0.0,-0.0,40,28
2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,-0.0,-0.0,44,28
2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,-0.0,-0.5773502691896256,56,28
2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,-0.0,-0.0,60,28
2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,-0.0,-0.0,64,28
2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,-0.0,0.0,74,28
2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,-0.0,-0.0,76,28
2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,-0.0,-0.0,80,28
2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,-0.0,-0.0,21,29
2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,-0.0,0.0,25,29
2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,-29616496926.04057,1.4999999999999998,29,29
2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-0.0,-0.5773502691896256,33,29
2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,-0.0,-0.5773502691896257,37,29
2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,-0.0,-0.0,41,29
2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,-0.0,-0.0,45,29
2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,-0.0,-0.5,57,29
2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,-0.0,-0.0,61,29
2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,-0.0,-0.0,65,29
2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,-0.0,-0.0,77,29
2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,-0.0,-0.0,81,29
2p3_L=1.0_S=1.0,0.0,-0.0,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.47140452079103157,20,30
2p3_L=1.0_S=1.0,0.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.0,0.0,0.47140452079103157,28,30
2p3_L=1.0_S=1.0,0.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,0.0,-0.0,32,30
2p3_L=1.0_S=1.0,0.0,-0.0,1.0,1.0,1.0,-0.0,1.0,2.0,0.0,-0.5270462766947297,40,30
2p3_L=1.0_S=1.0,0.0,-0.0,1.0,1.0,1.0,-0.0,2.0,1.0,0.0,-0.5270462766947297,60,30
2p3_L=1.0_S=1.0,0.0,-0.0,1.0,1.0,1.0,-0.0,2.0,2.0,0.0,-0.0,76,30
2p3_L=1.0_S=1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,1.0,0.0,-0.5773502691896256,19,31
2p3_L=1.0_S=1.0,1.0,-1.0,1.0,1.0,2.0,-1.0,0.0,2.0,0.0,-0.0,23,31
2p3_L=1.0_S=1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.5773502691896256,27,31
2p3_L=1.0_S=1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,-1.4999999999999998,31,31
2p3_L=1.0_S=1.0,1.0,-1.0,1.0,1.0,2.0,-1.0,1.0,1.0,0.0,0.0,35,31
2p3_L=1.0_S=1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,2.0,0.0,0.32274861218395134,39,31
2p3_L=1.0_S=1.0,1.0,-1.0,1.0,1.0,2.0,-1.0,1.0,2.0,0.0,-0.43301270189221924,43,31
2p3_L=1.0_S=1.0,1.0,-1.0,1.0,1.0,2.0,-1.0,2.0,0.0,0.0,-0.0,55,31
2p3_L=1.0_S=1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,2.0,1.0,0.0,-0.32274861218395134,59,31
2p3_L=1.0_S=1.0,1.0,-1.0,1.0,1.0,2.0,-1.0,2.0,1.0,0.0,-0.43301270189221924,63,31
2p3_L=1.0_S=1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,2.0,2.0,0.0,-0.0,75,31
2p3_L=1.0_S=1.0,1.0,-1.0,1.0,1.0,2.0,-1.0,2.0,2.0,0.0,-0.0,79,31
2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,32
2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,20,32
2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,-0.0,24,32
2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-0.0,28,32
2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-0.0,30,32
2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,32,32
2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,36,32
2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,-0.0,40,32
2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,-0.49999999999999983,44,32
2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,-0.0,56,32
2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,60,32
2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,-0.49999999999999983,64,32
2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,-0.0,74,32
2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,76,32
2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,-0.0,80,32
2p3_L=1.0_S=1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5773502691896256,21,33
2p3_L=1.0_S=1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,-0.0,25,33
2p3_L=1.0_S=1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.5773502691896256,29,33
2p3_L=1.0_S=1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.4999999999999998,33,33
