wavelength_A,I,Q,U,V
5.875346955796497241e+03,6.440688783432126918e-01,-1.723293179891367821e-02,8.808184636450685709e-03,6.722485972665816212e-02
5.875348623853211393e+03,6.426401149762448473e-01,-1.742311727998623744e-02,8.880766021670391183e-03,6.821517501903079372e-02
5.875350291909924636e+03,6.412046556260372343e-01,-1.760940790300541056e-02,8.950318410509654557e-03,6.920123761187021993e-02
5.875351959966638788e+03,6.397628641634938162e-01,-1.779161623455667585e-02,9.016733010106095514e-03,7.018247361512942872e-02
5.875353628023352940e+03,6.383151041992214392e-01,-1.796955627286420110e-02,9.079902440965794200e-03,7.115830807386105961e-02
5.875355296080067092e+03,6.368617385544292908e-01,-1.814304369728526531e-02,9.139720890436062173e-03,7.212816564266483210e-02
5.875356964136780334e+03,6.354031287449061205e-01,-1.831189611539604106e-02,9.196084264006474870e-03,7.309147125714689219e-02
5.875358632193494486e+03,6.339396344701961894e-01,-1.847593330819367191e-02,9.248890334660713267e-03,7.404765080718075931e-02
5.875360300250208638e+03,6.324716131223449000e-01,-1.863497747142234609e-02,9.298038889409995095e-03,7.499613180202827079e-02
5.875361968306922790e+03,6.309994192997806506e-01,-1.878885345432643184e-02,9.343431873301380128e-03,7.593634403628819751e-02
5.875363636363636033e+03,6.295234043406155999e-01,-1.893738899389794256e-02,9.384973530013657542e-03,7.686772024676841175e-02
5.875365304420350185e+03,6.280439158671491384e-01,-1.908041494504933780e-02,9.422570539275832227e-03,7.778969676502724140e-02
5.875366972477064337e+03,6.265612973558375431e-01,-1.921776550507688433e-02,9.456132150155881558e-03,7.870171415600303588e-02
5.875368640533778489e+03,6.250758877179375395e-01,-1.934927843341054804e-02,9.485570310731486141e-03,7.960321785150896445e-02
5.875370308590491732e+03,6.235880209048837441e-01,-1.947479526509143452e-02,9.510799793193469576e-03,8.049365876914506279e-02
5.875371976647205884e+03,6.220980255298936834e-01,-1.959416151831862296e-02,9.531738314636951578e-03,8.137249392130627146e-02
5.875373644703920036e+03,6.206062245197775384e-01,-1.970722689469037517e-02,9.548306652842135714e-03,8.223918700525836845e-02
5.875375312760634188e+03,6.191129347817081463e-01,-1.981384547347007918e-02,9.560428756550063203e-03,8.309320898284593138e-02
5.875376980817347430e+03,6.176184668987929616e-01,-1.991387589488851154e-02,9.568031855732229279e-03,8.393403864118410829e-02
5.875378648874061582e+03,6.161231248454360765e-01,-2.000718154564748094e-02,9.571046551962373097e-03,8.476116313798448543e-02
