profile,field_gauss,field_incl_deg,field_azim_deg,los_deg,height_arcsec,optical_depth,n,w,wavelength_A,I,Q,U,V
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875095079232693934e+03,7.258354587387852996e-01,-1.296906147388958419e-04,7.619483237456747490e-05,4.208247018837254919e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875096747289408086e+03,7.258121299780817548e-01,-1.362093162757786616e-04,8.001270510261745289e-05,4.420844481255009856e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875098415346121328e+03,7.257877034500177515e-01,-1.430319934016142849e-04,8.400717888351712703e-05,4.643413315420558585e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875100083402835480e+03,7.257621324409241348e-01,-1.501713624299237421e-04,8.818554665963532083e-05,4.876375350208464942e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875101751459549632e+03,7.257353685279268607e-01,-1.576405880442295366e-04,9.255535248174759019e-05,5.120167663620878423e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875103419516263784e+03,7.257073615313852644e-01,-1.654532945096432383e-04,9.712439739153421695e-05,5.375242993428702059e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875105087572977027e+03,7.256780594668973405e-01,-1.736235768811671858e-04,1.019007452712867651e-04,5.642070150418239611e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875106755629691179e+03,7.256474084967420302e-01,-1.821660122407437008e-04,1.068927286746652633e-04,5.921134435332440007e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875108423686405331e+03,7.256153528810566078e-01,-1.910956708720028740e-04,1.121089545865817553e-04,6.212938056715177574e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875110091743119483e+03,7.255818349284876012e-01,-2.004281274413574881e-04,1.175583101514996451e-04,6.518000552061220228e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875111759799833635e+03,7.255467949466005706e-01,-2.101794720978583458e-04,1.232499683153753908e-04,6.836859209482263819e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875113427856546878e+03,7.255101711920350915e-01,-2.203663214885739322e-04,1.291933933795316345e-04,7.170069489935150227e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875115095913261030e+03,7.254718998203674163e-01,-2.310058296949650774e-04,1.353983464688015453e-04,7.518205450399540824e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875116763969975182e+03,7.254319148360460767e-01,-2.421156989798225578e-04,1.418748908491782566e-04,7.881860164526411890e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875118432026689334e+03,7.253901480420652526e-01,-2.537141904290770656e-04,1.486333971392470911e-04,8.261646143553784188e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875120100083402576e+03,7.253465289897909063e-01,-2.658201343712970205e-04,1.556845483476699328e-04,8.658195753970217897e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875121768140116728e+03,7.253009849287392896e-01,-2.784529406132885349e-04,1.630393447641552353e-04,9.072161633315392344e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875123436196830880e+03,7.252534407567855501e-01,-2.916326083632530056e-04,1.707091086110976630e-04,9.504217099913762510e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875125104253545032e+03,7.252038189704078652e-01,-3.053797359304186469e-04,1.787054885267466209e-04,9.955056559851403839e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875126772310258275e+03,7.251520396154513826e-01,-3.197155300671748702e-04,1.870404637861205902e-04,1.042539590681869398e-03
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875128440366972427e+03,7.250980202381974715e-01,-3.346618150008656635e-04,1.957263482919135555e-04,1.091597291661750447e-03
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875130108423686579e+03,7.250416758372917325e-01,-3.502410409931599805e-04,2.047757942380647243e-04,1.142754763112448181e-03
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875131776480400731e+03,7.249829188160800131e-01,-3.664762925441896846e-04,2.142017955134553392e-04,1.196090273581397250e-03
